,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
67,Yung Joc ,I Know You See It,241307,2005,0.744,0.368,1,-6.349,0.0524,0.0702,0.0,0.192,0.391,84.018,spotify:track:6giYNaycmjkbf7UmZ6RGtL
68,Bon Jovi,Who Says You Cant Go Home,230280,2005,0.537,0.885,7,-3.641,0.0343,0.0437,0.0,0.274,0.802,131.698,spotify:track:5439qJTu5mVH9aeriwp03u
69,JoJo,Too Little Too Late,223533,2005,0.394,0.821,6,-4.304,0.0404,0.00302,0.019,0.186,0.509,82.764,spotify:track:3hc7PLcmuZbJGPjhIore1i
70,Busta Rhymes,Touch It,240147,2005,0.641,0.615,1,-7.475,0.389,0.0367,0.0,0.105,0.411,68.938,spotify:track:7HiUa9Gkk3QddHWT4jKiXd
71,Daddy Yankee,Rompe,204520,2005,0.685,0.859,5,-2.595,0.0553,0.116,0.0,0.317,0.891,176.018,spotify:track:2Q85xwXagilpHKTfdrbC7M
72,Beyonce ,Deja Vu,289790,2005,0.771,0.684,6,-8.742,0.141,0.00534,2.66e-06,0.7,0.154,105.968,spotify:track:7Id9WVdUZXIK1jchXxvRH3
73,Rascal Flatts,Life Is A Highway,276320,2005,0.58,0.953,5,-3.856,0.0614,0.00261,0.0,0.218,0.673,103.041,spotify:track:2Fs18NaCDuluPG1DHGw1XG
74,Evanescence,Call Me When Youre Sober,214707,2005,0.45,0.883,7,-4.094,0.0524,0.00193,0.0,0.293,0.328,93.41,spotify:track:663Karu2rvKLdnY0eo1n3M
75,Carrie Underwood,"Jesus, Take The Wheel",226493,2005,0.359,0.518,2,-3.537,0.0302,0.665,0.0,0.106,0.135,76.572,spotify:track:3lec3CzDPAxsZokPph5w87
76,Danity Kane,Show Stopper,229240,2005,0.755,0.408,5,-10.33,0.187,0.0133,0.0,0.33,0.465,76.034,spotify:track:5FRIqUXfTazrtRmYEGO4G0
77,Ciara ,Get Up,263373,2005,0.941,0.631,1,-5.998,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,spotify:track:4PrquuUN34hswtM71OMvxS
78,Sean Paul,We Be Burnin,213066,2005,0.95,0.803,1,-4.195,0.151,0.145,0.0,0.0748,0.86,117.0,spotify:track:4kOTDj4SiZPkW1p96WMDNv
79,Blue October,Hate Me,380200,2005,0.449,0.691,4,-5.65,0.0349,0.477,0.0,0.0966,0.201,93.267,spotify:track:1tL40tfdtUaSLek4DvDDr3
80,Lifehouse,You And Me,195493,2005,0.459,0.427,7,-7.734,0.0267,0.114,0.0,0.168,0.354,139.902,spotify:track:0815caqt2Lytro5EIzMufT
81,The Pussycat Dolls ,Beep,229360,2005,0.935,0.745,7,-6.391,0.0431,0.00914,0.0,0.116,0.518,103.691,spotify:track:5TXNLJ2EENAt3Tf9MX4kT2
82,Dem Franchize Boyz ,I Think They Like Me,282093,2005,0.781,0.625,7,-9.139,0.373,0.00447,0.0,0.185,0.679,83.024,spotify:track:5a4AQWs84xeEyYUd1iC2Pn
83,Chris Brown,Say Goodbye,289760,2005,0.8,0.502,1,-6.062,0.0371,0.00167,0.0,0.0784,0.388,115.091,spotify:track:5F7IJrXD6Fa3EmqoYE0gU4
84,John Mayer,Waiting On The World To Change,201173,2005,0.577,0.756,2,-5.82,0.115,0.159,0.000232,0.249,0.663,176.75,spotify:track:5imShWWzwqfAJ9gXFpGAQh
85,The Black Eyed Peas,Pump It,213067,2005,0.649,0.931,1,-3.15,0.181,0.0093,0.0,0.751,0.744,153.645,spotify:track:6btyEL6NwUa97Nex9cZFvo
86,Eminem,When Im Gone,281133,2005,0.619,0.746,10,-5.479,0.36,0.0537,0.0,0.295,0.757,149.944,spotify:track:42YNobZ4HN3tRVEA47wLT6
87,Madonna,Hung Up,337733,2005,0.649,0.647,9,-7.695,0.0452,0.0039,0.161,0.0686,0.405,125.02,spotify:track:3850dYVgOFIXJh5U4BFEWH
88,Three 6 Mafia ,Stay Fly,236600,2005,0.789,0.881,11,-5.758,0.0331,0.108,0.0,0.355,0.647,133.301,spotify:track:5MYFw4T2gy52pOGBN4EYHS
89,Keyshia Cole,Love,255333,2005,0.688,0.519,5,-4.285,0.0283,0.064,0.0,0.1,0.318,116.714,spotify:track:0W4NhJhcqKCqEP2GIpDCDq
90,Ne-Yo,When Youre Mad,222000,2005,0.66,0.548,6,-7.127,0.215,0.364,0.0,0.108,0.436,86.947,spotify:track:5FXOEdfNW7nYQrBWtW49Cl
91,T.I.,Why You Wanna,215000,2005,0.802,0.772,1,-4.893,0.192,0.358,0.0,0.0603,0.654,96.046,spotify:track:1g0oI97rPdYuWDIpkbtQdv
92,P!nk,Stupid Girls,197173,2005,0.689,0.886,4,-5.045,0.0639,0.000739,0.00187,0.0524,0.568,100.029,spotify:track:5oxGaQRd6cLnEcxxbw0soP
93,Gorillaz,Feel Good Inc,222640,2005,0.818,0.705,6,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,spotify:track:0d28khcov6AiegSCpG5TuT
94,T-Pain,Im Sprung,230713,2005,0.722,0.329,0,-11.617,0.108,0.088,0.0,0.081,0.166,99.991,spotify:track:0F7rEdewJ6cSLylOZZpDu7
95,Taylor Hicks,Do I Make You Proud,248693,2005,0.463,0.524,1,-8.207,0.0316,0.026,0.0,0.102,0.308,144.055,spotify:track:2jv9Ppwz9u3lqWfXV0q2sW
96,Teddy Geiger,For You I Will ,228880,2005,0.315,0.751,1,-5.74,0.0517,0.0041,0.0,0.0984,0.272,119.566,spotify:track:2ijMU9lYFCvGBzgwJ8Sd8q
97,Daniel Powter,Bad Day,233640,2006,0.599,0.785,3,-4.013,0.0309,0.448,0.00336,0.151,0.52,140.046,spotify:track:0mUyMawtxj1CJ76kn9gIZK
98,Sean Paul,Temperature,218573,2006,0.951,0.6,0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04,spotify:track:0k2GOhqsrxDTAbFFSdNJjT
99,Nelly Furtado ,Promiscuous,242200,2006,0.795,0.978,10,-6.097,0.0459,0.046,8.29e-05,0.143,0.843,114.321,spotify:track:47aQT2aV12TyilaoYi1NiD
100,James Blunt,Youre Beautiful,209493,2006,0.675,0.479,0,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,spotify:track:0vg4WnUWvze6pBOJDTq99k
101,Shakira ,Hips Dont Lie,218093,2006,0.778,0.824,10,-5.892,0.0712,0.284,0.0,0.405,0.756,100.024,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V
102,Natasha Bedingfield,Unwritten,259333,2006,0.706,0.801,5,-6.333,0.0399,0.00577,0.0,0.0822,0.63,100.013,spotify:track:1D1nixOVWOxvNfWi0UD7VX
103,Gnarls Barkley,Crazy,182066,2006,0.835,0.741,8,-1.609,0.0339,0.0172,0.0577,0.0826,0.612,111.963,spotify:track:2N5zMZX7YeL1tico8oQxa9
104,Chamillionaire ,Ridin,303053,2006,0.788,0.798,8,-4.68,0.0997,0.189,0.0,0.3,0.836,143.051,spotify:track:3kZoay4ANo86ehb6s4RwS9
105,Justin Timberlake,SexyBack,242733,2006,0.967,0.583,7,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0,spotify:track:0O45fw2L5vsWpdsOdXwNAR
106,Beyonce ,Check On It,76214,2006,0.519,0.884,7,-8.077,0.369,0.00294,0.0,0.943,0.693,167.345,spotify:track:632ikkYPSHSHA5udZeuKvk
107,Mary J. Blige,Be Without You,246333,2006,0.724,0.705,2,-5.859,0.112,0.067,0.0,0.262,0.662,146.589,spotify:track:2YegxR5As7BeQuVp2U6pek
108,Nelly ,Grillz,271160,2006,0.863,0.514,4,-7.243,0.249,0.0419,0.0,0.301,0.843,82.985,spotify:track:0Aqlt4N5h6rUtKnd09VXpr
109,The Fray,Over My Head ,236267,2006,0.592,0.729,8,-4.156,0.0448,0.022,0.0,0.0653,0.709,116.03,spotify:track:1N62wozuHCvczCkY4QidpP
110,Cassie,Me & U,192213,2006,0.803,0.454,8,-4.802,0.0294,0.352,0.0,0.0655,0.739,99.99,spotify:track:7k6IzwMGpxnRghE7YosnXT
111,The Pussycat Dolls ,Buttons,225560,2006,0.57,0.821,2,-4.38,0.267,0.178,0.0,0.289,0.408,210.857,spotify:track:3BxWKCI06eQ5Od8TY2JBeA
112,Chris Brown,Run It!,229867,2006,0.846,0.482,1,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969,spotify:track:7xYnUQigPoIDAMPVK79NEq
113,Ne-Yo,So Sick,207187,2006,0.452,0.574,6,-8.336,0.31,0.246,0.0,0.189,0.58,92.791,spotify:track:6brl7bwOHmGFkNw3MBqssT
114,Yung Joc,Its Goin Down,241840,2006,0.888,0.577,1,-7.702,0.0612,0.0986,0.0,0.131,0.609,84.003,spotify:track:05Sgj1Hx03ZXc57gsV1kfX
115,Rihanna,SOS,238920,2006,0.677,0.671,7,-4.905,0.0361,0.004,5.07e-05,0.413,0.527,137.046,spotify:track:30cSNer6TV8x2utjULVeQ5
116,Panic! At The Disco,I Write Sins Not Tragedies,187613,2006,0.567,0.795,9,-4.985,0.134,0.0938,0.0,0.114,0.635,170.06,spotify:track:4bPQs0PHn4xbipzdPfn6du
117,The All-American Rejects,Move Along,238880,2006,0.518,0.916,3,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864,spotify:track:2l57cfmCnOkwNX1tky02n1
118,Fergie,London Bridge,241307,2006,0.769,0.609,1,-5.894,0.357,0.216,0.0,0.166,0.633,90.951,spotify:track:7jRoWfRlLnGYEIEn4t4kbq
119,Red Hot Chili Peppers,Dani California,282160,2006,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,spotify:track:10Nmj3JCNoMeBQ87uw5j8k
120,Dem Franchize Boyz ,"Lean Wit It, Rock Wit It",229813,2006,0.886,0.62,5,-5.854,0.307,0.082,0.0,0.1,0.6,76.035,spotify:track:7cVmKBwzPsh4Fmb6SplfEm
121,Rascal Flatts,What Hurts The Most,214107,2006,0.537,0.674,5,-5.134,0.0277,0.0088,0.0,0.265,0.33,136.002,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4
122,The Fray,How To Save A Life,262533,2006,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,spotify:track:5fVZC9GiM4e8vu99W0Xf6J
123,Rihanna,Unfaithful,226973,2006,0.588,0.391,0,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069,spotify:track:13xxBnXOuiBxVxJI458B0i
124,Snow Patrol,Chasing Cars,267933,2006,0.563,0.592,9,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016,spotify:track:11bD1JtSjlIgKgZG2134DZ
125,Hinder,Lips Of An Angel,261853,2006,0.476,0.736,2,-5.38,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,spotify:track:40LQiUUUKXVGyNs09lHVjW
126,Cascada,Everytime We Touch,196467,2006,0.635,0.974,8,-5.373,0.052,0.00474,1.56e-05,0.41,0.495,142.049,spotify:track:1eOHw1k2AoluG4VyjBHLzX
127,Christina Aguilera,Aint No Other Man,228907,2006,0.862,0.742,7,-4.722,0.222,0.00376,0.00855,0.103,0.511,127.91,spotify:track:7huo2wvrCgRucUsjdSDLQV
128,Fall Out Boy,"Dance, Dance",180267,2006,0.62,0.961,11,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.448,spotify:track:0a7BloCiNzLDD9qSQHh5m7
129,Kanye West ,Gold Digger,207627,2006,0.631,0.696,1,-5.572,0.348,0.0192,0.0,0.0554,0.621,92.941,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ
130,Ludacris ,Money Maker,230613,2006,0.464,0.598,1,-6.79,0.27,0.149,0.0,0.299,0.612,79.732,spotify:track:2JpUkUR0OsOlUUfm6iS8ic
131,Bubba Sparxxx ,Ms. New Booty,252653,2006,0.64,0.62,1,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh
132,Nickelback,Photograph,258920,2006,0.513,0.877,8,-3.756,0.0292,0.000932,0.000163,0.136,0.389,145.919,spotify:track:3hb2ScEVkGchcAQqrPLP0R
133,Kelly Clarkson,Because Of You,219493,2006,0.583,0.584,5,-5.362,0.0314,0.254,0.0,0.123,0.136,140.039,spotify:track:3f3omU8n47Mqyab5nCaGyT
134,The Pussycat Dolls,Stickwitu,207507,2006,0.655,0.54,9,-6.482,0.0516,0.268,0.0,0.068,0.43,79.983,spotify:track:4NjR63Up0uMkQBlKvlZd1l
135,T-Pain ,Im N Luv ,265333,2006,0.731,0.368,8,-10.38,0.0688,0.00544,0.0,0.193,0.512,145.171,spotify:track:1lih9AUGlOI2qbAkptdBsr
136,The Black Eyed Peas,My Humps,326960,2006,0.801,0.682,1,-5.919,0.225,0.111,1.56e-05,0.109,0.586,123.95,spotify:track:19JdbdEwQI7bCxefMokZO8
137,Fort Minor ,Whered You Go,231867,2006,0.684,0.819,1,-3.309,0.238,0.262,0.00197,0.113,0.25,179.999,spotify:track:7pAT4dOUzjq8Ziap5ShIqC
138,Chris Brown,Yo ,229040,2006,0.536,0.612,4,-5.847,0.272,0.119,0.0,0.209,0.57,86.768,spotify:track:7DFnq8FYhHMCylykf6ZCxA
139,Kelly Clarkson,Walk Away,189307,2006,0.75,0.888,0,-4.524,0.0426,0.0147,1.11e-06,0.0759,0.935,115.973,spotify:track:25sA1vM4BFkTb5cJGWftFo
140,D4L,Laffy Taffy,224253,2006,0.891,0.439,7,-7.994,0.428,0.0351,0.0,0.0932,0.622,77.499,spotify:track:2ajhenDRiiAnCHHjsIOHhJ
141,T.I.,What You Know,274333,2006,0.551,0.81,11,-4.365,0.0344,0.0155,0.0,0.169,0.332,73.464,spotify:track:0CAJdthKDdRjB2h8YOguN6
142,The All-American Rejects,Dirty Little Secret,193653,2006,0.465,0.954,10,-4.251,0.044,0.000346,5.38e-06,0.573,0.458,143.85,spotify:track:5lDriBxJd22IhOH9zTcFrV
143,Nickelback,Savin Me,219320,2006,0.441,0.815,3,-4.088,0.0276,0.000731,0.0,0.414,0.522,164.021,spotify:track:4Gd9PUEuOTOJtbgd4YxLXM
144,Mariah Carey,Dont Forget About Us,233867,2006,0.7,0.529,10,-6.816,0.0395,0.0422,0.0,0.101,0.386,143.555,spotify:track:2hQU8LNZFUcXLUwqeABX3K
145,Ne-Yo,Sexy Love,220853,2006,0.693,0.516,8,-6.446,0.0413,0.297,0.000127,0.0604,0.494,94.02,spotify:track:10aWGOqSDBqvNzJ9NeKDbK
146,E-40 ,U And Dat,202720,2006,0.858,0.484,6,-7.448,0.277,0.0241,1.8e-06,0.123,0.329,99.992,spotify:track:7g7M96UGiA7OR79H86gV4m
147,Nickelback,Far Away,238173,2006,0.518,0.797,6,-5.153,0.0309,0.000696,0.0,0.107,0.293,132.915,spotify:track:0ADZ5dmXhlfzjMw6lefoPl
148,Nick Lachey,Whats Left Of Me,244667,2006,0.421,0.728,7,-5.644,0.035,0.136,0.0,0.136,0.311,150.12,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd
149,Field Mob ,So What,216000,2006,0.931,0.486,6,-10.558,0.139,0.0579,0.0,0.161,0.896,120.026,spotify:track:0Uc706myy6Th7I6KQ9xA1x
