,Artist,Song,Duration(ms),Year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
112,The All-American Rejects,Move Along,238880,2006,0.518,0.916,3,-3.858,0.0454,0.000148,0.0,0.291,0.646,109.864
113,Fergie,London Bridge,241307,2006,0.769,0.609,1,-5.894,0.357,0.216,0.0,0.166,0.633,90.951
114,Red Hot Chili Peppers,Dani California,282160,2006,0.556,0.913,0,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184
115,Dem Franchize Boyz ,"Lean Wit It, Rock Wit It",229813,2006,0.886,0.62,5,-5.854,0.307,0.082,0.0,0.1,0.6,76.035
116,Rascal Flatts,What Hurts The Most,214107,2006,0.537,0.674,5,-5.134,0.0277,0.0088,0.0,0.265,0.33,136.002
117,The Fray,How To Save A Life,262533,2006,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035
118,Rihanna,Unfaithful,226973,2006,0.588,0.391,0,-8.607,0.0334,0.839,0.0,0.227,0.349,144.069
119,Snow Patrol,Chasing Cars,267933,2006,0.563,0.592,9,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016
120,Hinder,Lips Of An Angel,261853,2006,0.476,0.736,2,-5.38,0.0343,0.0217,1.08e-06,0.203,0.251,129.084
121,Cascada,Everytime We Touch,196467,2006,0.635,0.974,8,-5.373,0.052,0.00474,1.56e-05,0.41,0.495,142.049
122,Fall Out Boy,"Dance, Dance",180267,2006,0.62,0.961,11,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.448
123,Kanye West ,Gold Digger,207627,2006,0.631,0.696,1,-5.572,0.348,0.0192,0.0,0.0554,0.621,92.941
124,Ludacris ,Money Maker,230613,2006,0.464,0.598,1,-6.79,0.27,0.149,0.0,0.299,0.612,79.732
125,Bubba Sparxxx ,Ms. New Booty,252653,2006,0.64,0.62,1,-5.931,0.416,0.016,0.0,0.0831,0.609,129.37
126,Sean Paul ,(When You Gonna) Give It Up To Me,243880,2006,0.711,0.761,8,-3.04,0.225,0.067,0.0,0.041,0.718,95.824
127,Nickelback,Photograph,258920,2006,0.513,0.877,8,-3.756,0.0292,0.000932,0.000163,0.136,0.389,145.919
